"Organism","OrganismId","AntimicrobialId","Antimicrobial","CountryId","CountryName","ISO3","code","year","Source","IsolatesTested","value","CILow","CIHigh"
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",463,32,28,36
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",519,38,34,42
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",546,28,24,32
"Enterococcus faecalis",1,2,"Aminopenicillins",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",463,0,0,1
"Enterococcus faecalis",1,2,"Aminopenicillins",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",522,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",563,0,0,1
"Enterococcus faecalis",1,3,"Vancomycin",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",463,0,0,1
"Enterococcus faecalis",1,3,"Vancomycin",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",523,0,0,1
"Enterococcus faecalis",1,3,"Vancomycin",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",560,1,0,2
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",318,62,57,67
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",377,62,57,67
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",387,59,54,64
"Enterococcus faecium",2,2,"Aminopenicillins",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",318,93,90,95
"Enterococcus faecium",2,2,"Aminopenicillins",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",379,90,87,93
"Enterococcus faecium",2,2,"Aminopenicillins",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",400,87,83,90
"Enterococcus faecium",2,3,"Vancomycin",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",318,41,36,46
